date,open,high,low,close,volume
6/2/2011,34.6728,34.7578,34.3907,34.5221,525800
6/3/2011,34.298,34.8467,34.2909,34.7772,764400
6/6/2011,34.8815,35.0245,34.6187,34.6419,623800
6/7/2011,35.009,35.0245,34.7347,34.7501,496000
6/8/2011,34.4719,34.5453,34.2787,34.3869,260800
6/9/2011,34.4835,34.8158,34.4255,34.7308,162000
6/10/2011,34.4835,34.5221,34.0584,34.1898,952000
6/13/2011,34.1937,34.2826,33.9734,34.1705,287800
6/14/2011,33.8536,34.1628,33.7995,34.1203,488200
6/15/2011,33.5213,33.6875,33.1388,33.1929,505600
6/16/2011,32.7253,33.0924,32.6596,32.9494,477000
6/17/2011,33.1426,33.3436,32.9803,33.2702,333200
6/20/2011,33.2547,33.4209,33.1658,33.3899,469600
6/21/2011,33.4711,33.8614,33.4015,33.73,490200
6/22/2011,33.5368,33.8034,33.4788,33.5136,240600
6/23/2011,32.8606,33.131,32.7137,33.0731,432000
6/24/2011,32.8528,32.9378,32.6017,32.8606,267600
6/27/2011,33.1001,33.3629,33.1001,33.2354,326200
6/28/2011,33.3397,33.5406,33.2315,33.3397,280800
6/29/2011,33.3552,33.5484,33.1735,33.4518,249000
6/30/2011,33.5175,34.4758,33.5059,34.0043,392400
7/1/2011,34.0623,34.3328,34.0314,34.3096,293600
7/5/2011,35.1906,35.322,34.8815,35.0051,418000
7/6/2011,34.6999,34.8274,34.4835,34.781,292000
7/7/2011,34.9433,35.1172,34.8869,35.0129,209400
7/8/2011,35.4147,35.5848,35.2177,35.4688,336600
7/11/2011,35.2756,35.3143,34.8467,35.0051,261800
7/12/2011,34.6767,34.9008,34.6187,34.6767,350200
7/13/2011,34.5299,34.9163,34.4294,34.7385,277800
7/14/2011,34.8081,34.9897,34.5202,34.6458,246200
7/15/2011,34.839,35.1288,34.8081,35.1172,363600
7/18/2011,34.7115,34.8158,34.3753,34.6767,233400
7/19/2011,34.2826,34.669,34.2787,34.468,410000
7/20/2011,34.4603,34.7037,34.2632,34.7037,240400
